Scheme,Dataset,N,K,AvgTime_ms,AvgRounds,AvgVolume_Bytes,BlockSize,Access,Self_Access,InitialTime_s
HOTREE,yelp,16384,1,0.325046,0.347009,9865.41,4096,1.20427,0,3.4156
HOTREE,yelp,16384,2,0.34423,0.54188,12323,4096,1.50427,0,3.06172
HOTREE,yelp,16384,3,0.530001,0.825641,16741.1,4096,2.04359,0,3.08815
HOTREE,yelp,16384,4,0.491123,1.13699,21293.6,4096,2.59932,0,3.45415
HOTREE,yelp,16384,5,0.427575,1.23932,22370.5,4096,2.73077,0,3.11323
HOTREE,yelp,16384,6,0.667894,1.62564,28987.1,4096,3.53846,0,3.13822
HOTREE,tweets,16384,1,0.398606,0.917094,18785.6,4096,2.29316,0,1.77685
HOTREE,tweets,16384,2,0.37468,2.16068,39139.6,4096,4.77778,0,1.73907
HOTREE,tweets,16384,3,0.449663,3.20256,56461.8,4096,6.89231,0,1.57112
HOTREE,tweets,16384,4,0.513032,4.19863,72802.2,4096,8.88699,0,1.56983
HOTREE,tweets,16384,5,0.569599,5.15385,88466.6,4096,10.7991,0,1.562
HOTREE,tweets,16384,6,0.650518,6.10769,103933,4096,12.6872,0,1.57812
HOTREE,foursquare,16384,1,0.172057,0.700855,15676.8,4096,1.91368,0,1.06377
HOTREE,foursquare,16384,2,0.21795,1.46496,27782.8,4096,3.39145,0,1.06079
HOTREE,foursquare,16384,3,0.259155,2.19744,40518.9,4096,4.94615,0,1.32189
HOTREE,foursquare,16384,4,0.311423,3.0137,53472.4,4096,6.5274,0,1.05223
HOTREE,foursquare,16384,5,0.327566,3.75214,66236.2,4096,8.08547,0,1.06562
HOTREE,foursquare,16384,6,0.363814,4.58974,78769.2,4096,9.61538,0,1.04003
