Scheme,Dataset,N,K,AvgTime_ms,AvgRounds,AvgVolume_Bytes,BlockSize,InitialTime_s
OBIRTREE,yelp,1048576,1,11.3929,9.79,7.37837e+06,4096,867.046
OBIRTREE,yelp,1048576,2,14.43,11.1,8.36567e+06,4096,867.046
OBIRTREE,yelp,1048576,3,15.3509,13.97,1.05287e+07,4096,867.046
OBIRTREE,yelp,1048576,4,19.4575,17.28,1.30233e+07,4096,867.046
OBIRTREE,yelp,1048576,5,21.0392,21.38,1.61133e+07,4096,867.046
OBIRTREE,yelp,1048576,6,25.5292,25.14,1.89471e+07,4096,867.046
OBIRTREE,tweets,1048576,1,8.69146,9.02,6.79805e+06,4096,418.331
OBIRTREE,tweets,1048576,2,19.8241,19.99,1.50657e+07,4096,418.331
OBIRTREE,tweets,1048576,3,26.77,28.52,2.14945e+07,4096,418.331
OBIRTREE,tweets,1048576,4,32.7277,35.07,2.6431e+07,4096,418.331
OBIRTREE,tweets,1048576,5,38.1719,41.33,3.11489e+07,4096,418.331
OBIRTREE,tweets,1048576,6,43.609,47.1,3.54976e+07,4096,418.331
OBIRTREE,foursquare,1048576,1,10.4612,9.06,6.8282e+06,4096,293.423
OBIRTREE,foursquare,1048576,2,15.809,15.83,1.19305e+07,4096,293.423
OBIRTREE,foursquare,1048576,3,20.6899,20.58,1.55104e+07,4096,293.423
OBIRTREE,foursquare,1048576,4,26.8228,25.38,1.9128e+07,4096,293.423
OBIRTREE,foursquare,1048576,5,27.6807,29.91,2.25421e+07,4096,293.423
OBIRTREE,foursquare,1048576,6,30.8228,34.57,2.60542e+07,4096,293.423
