Scheme,Dataset,N,K,AvgTime_ms,AvgRounds,AvgVolume_Bytes,BlockSize,InitialTime_s
OBIRTREE,yelp,1024,1,7.62329,5.68627,3.63339e+06,4096,0.976861
OBIRTREE,yelp,4096,1,6.79071,6.65103,4.90367e+06,4096,3.26555
OBIRTREE,yelp,16384,1,9.11174,7.61538,6.36329e+06,4096,12.2924
OBIRTREE,yelp,65536,1,11.0973,8.66699,8.094e+06,4096,49.0576
OBIRTREE,yelp,262144,1,12.9442,8.78754,9.07043e+06,4096,198.277
OBIRTREE,yelp,1048576,1,15.326,9.54898,1.07951e+07,4096,834.744
OBIRTREE,tweets,1024,1,4.50055,5,3.19488e+06,4096,0.39188
OBIRTREE,tweets,4096,1,5.7219,6,4.42368e+06,4096,1.62828
OBIRTREE,tweets,16384,1,7.91054,7.00085,5.8498e+06,4096,6.55244
OBIRTREE,tweets,65536,1,9.75279,8.00049,7.47156e+06,4096,26.1959
OBIRTREE,tweets,262144,1,10.7476,8.00192,8.25952e+06,4096,105.561
OBIRTREE,tweets,1048576,1,12.9698,9.00921,1.01849e+07,4096,424.114
OBIRTREE,foursquare,1024,1,3.93773,5,3.19488e+06,4096,0.261696
OBIRTREE,foursquare,4096,1,6.11581,6,4.42368e+06,4096,0.998398
OBIRTREE,foursquare,16384,1,7.25763,7.00427,5.85266e+06,4096,4.30133
OBIRTREE,foursquare,65536,1,9.51519,8.0061,7.4768e+06,4096,17.0659
OBIRTREE,foursquare,262144,1,10.7671,8.00824,8.26604e+06,4096,73.3981
OBIRTREE,foursquare,1048576,1,12.9803,9.04032,1.022e+07,4096,284.525
