Scheme,Dataset,N,AvgBuildTime_ms,BuildVolume_Bytes,BlockSize
HOTREE,yelp,1024,232.124,0,2048
HOTREE,yelp,4096,819.549,0,2048
HOTREE,yelp,16384,2595.96,0,2048
HOTREE,yelp,65536,11457.1,0,2048
HOTREE,yelp,262144,45170,0,2048
HOTREE,yelp,1048576,184096,0,2048
HOTREE,tweets,1024,85.718,0,2048
HOTREE,tweets,4096,342.191,0,2048
HOTREE,tweets,16384,1370.64,0,2048
HOTREE,tweets,65536,5458.54,0,2048
HOTREE,tweets,262144,21965.3,0,2048
HOTREE,tweets,1048576,88894.6,0,2048
HOTREE,foursquare,1024,53.886,0,2048
HOTREE,foursquare,4096,217.16,0,2048
HOTREE,foursquare,16384,860.364,0,2048
HOTREE,foursquare,65536,3636.43,0,2048
HOTREE,foursquare,262144,14821.1,0,2048
HOTREE,foursquare,1048576,60508.2,0,2048
HOTREE,synthetic,1024,58.366,0,2048
HOTREE,synthetic,4096,238.096,0,2048
HOTREE,synthetic,16384,990.211,0,2048
HOTREE,synthetic,65536,4172.95,0,2048
HOTREE,synthetic,262144,15617.7,0,2048
HOTREE,synthetic,1048576,61760.1,0,2048
