Scheme,Dataset,N,K,AvgTime_ms,AvgRounds,AvgVolume_Bytes,BlockSize,Access,Self_Access
HOTREE,yelp,16384,0,3112.07,0,0,2048,0,0
HOTREE,tweets,16384,0,1377.17,0,0,2048,0,0
HOTREE,foursquare,16384,0,870.749,0,0,2048,0,0
HOTREE,synthetic,16384,0,1205.14,0,0,2048,0,0
HOTREE,yelp,16384,0,3642.87,0,0,16384,0,0
HOTREE,tweets,16384,0,1826.57,0,0,16384,0,0
HOTREE,foursquare,16384,0,1613.95,0,0,16384,0,0
HOTREE,synthetic,16384,0,1434.46,0,0,16384,0,0
HOTREE,yelp,16384,0,6815.94,0,0,131072,0,0
HOTREE,tweets,16384,0,4190.95,0,0,131072,0,0
HOTREE,foursquare,16384,0,3729.18,0,0,131072,0,0
HOTREE,synthetic,16384,0,4191.33,0,0,131072,0,0
