Scheme,Dataset,N,K,AvgTime_ms,AvgRounds,AvgVolume_Bytes,BlockSize,Access,Self_Access
HOTREE,yelp,16384,1,1.91194,2.37267,354435,2048,4.74533,0
HOTREE,tweets,16384,1,0.997139,1.91667,288621,2048,3.834,0
HOTREE,foursquare,16384,1,0.860245,1.92667,288937,2048,3.854,0
HOTREE,synthetic,16384,1,0.724721,1.98467,291007,2048,3.96933,0
HOTREE,yelp,16384,1,1.82074,2.36933,2.40735e+09,16384,4.73867,0.000666667
HOTREE,tweets,16384,1,1.54055,1.91867,1.51267e+09,16384,3.838,0
HOTREE,foursquare,16384,1,1.34152,1.92733,1.53576e+09,16384,3.85467,0
HOTREE,synthetic,16384,1,1.48897,2.00267,1.68948e+09,16384,4.00533,0
HOTREE,yelp,16384,1,6.46288,2.37933,1.7362e+10,131072,4.75933,0
HOTREE,tweets,16384,1,5.80983,1.92133,1.33893e+10,131072,3.84333,0
HOTREE,foursquare,16384,1,5.78385,1.928,1.34234e+10,131072,3.856,0
HOTREE,synthetic,16384,1,5.31082,1.98133,1.38612e+10,131072,3.96333,0
