Scheme,Dataset,N,K,AvgTime_ms,AvgRounds,AvgVolume_Bytes,BlockSize,Access,Self_Access,InitialTime_s
HOTREE,yelp,1024,1,0.78747,1.70996,1.00915e+06,4096,3.61328,0.00390625,0.23454
HOTREE,yelp,1024,2,1.04801,2.37207,2.05321e+06,4096,4.76953,0.00292969,0.23454
HOTREE,yelp,1024,3,1.23665,3.20215,2.35599e+06,4096,6.27344,0.00390625,0.23454
HOTREE,yelp,1024,4,1.47742,3.90137,2.90683e+06,4096,7.66113,0.015625,0.23454
HOTREE,yelp,1024,5,1.80102,4.82715,3.67225e+06,4096,9.21387,0.0234375,0.23454
HOTREE,yelp,1024,6,1.87509,5.60547,3.92788e+06,4096,10.79,0.0341797,0.23454
HOTREE,tweets,1024,1,0.486432,1.1416,837072,4096,2.74805,0,0.0953671
HOTREE,tweets,1024,2,1.01228,2.5957,2.15941e+06,4096,5.1582,0.000976562,0.0953671
HOTREE,tweets,1024,3,1.26435,3.65723,2.48943e+06,4096,7.21484,0.00195312,0.0953671
HOTREE,tweets,1024,4,1.64373,4.83203,3.67671e+06,4096,9.29004,0.0166016,0.0953671
HOTREE,tweets,1024,5,1.79611,5.8457,4.36439e+06,4096,11.1006,0.0195312,0.0953671
HOTREE,tweets,1024,6,2.02732,6.72852,4.69846e+06,4096,12.8613,0.0185547,0.0953671
HOTREE,foursquare,1024,1,0.413322,1.1582,843096,4096,2.81055,0,0.0788469
HOTREE,foursquare,1024,2,0.891979,2.85645,2.22178e+06,4096,5.66797,0.00390625,0.0788469
HOTREE,foursquare,1024,3,1.22694,4.04785,3.00682e+06,4096,7.875,0.00976562,0.0788469
HOTREE,foursquare,1024,4,1.4853,5.16309,3.83282e+06,4096,9.94434,0.0175781,0.0788469
HOTREE,foursquare,1024,5,1.70948,6.17871,4.49529e+06,4096,11.7568,0.0302734,0.0788469
HOTREE,foursquare,1024,6,1.99371,7.14355,5.23053e+06,4096,13.5264,0.03125,0.0788469
HOTREE,synthetic,1024,1,0.582417,1.16016,843072,4096,2.80664,0.000976562,0.188532
HOTREE,synthetic,1024,2,1.2014,3.44922,2.43297e+06,4096,6.81055,0,0.188532
HOTREE,synthetic,1024,3,1.58931,5.05078,3.73881e+06,4096,9.69336,0.0175781,0.188532
HOTREE,synthetic,1024,4,1.99025,6.4043,4.97889e+06,4096,12.1338,0.0195312,0.188532
HOTREE,synthetic,1024,5,2.19863,7.51758,5.39399e+06,4096,14.2568,0.0263672,0.188532
HOTREE,synthetic,1024,6,2.51771,8.55566,6.07178e+06,4096,16.1426,0.0605469,0.188532
