Scheme,Dataset,N,K,AvgTime_ms,AvgRounds,AvgVolume_Bytes,BlockSize,Access,Self_Access,InitialTime_s
HOTREE,yelp,1024,1,0.851392,1.58824,234115,4096,3.55882,0,0.243231
HOTREE,yelp,4096,1,0.8161,2.12023,754985,4096,4.58358,0,0.861383
HOTREE,yelp,16384,1,0.962908,2.73162,1.59799e+06,4096,5.59402,0.0034188,2.77297
HOTREE,yelp,65536,1,1.25357,3.34473,2.85271e+06,4096,6.5376,0.000976562,11.1303
HOTREE,yelp,262144,1,1.61899,4.0379,4.66102e+06,4096,7.53155,0.000755339,44.8979
HOTREE,yelp,1048576,1,1.96855,4.44402,6.72722e+06,4096,7.94553,0.000743877,182.828
HOTREE,tweets,1024,1,0.311725,1.10784,215883,4096,2.84314,0,0.08527
HOTREE,tweets,4096,1,0.451243,1.78592,616178,4096,3.7654,0,0.348569
HOTREE,tweets,16384,1,0.681043,2.18205,1.29306e+06,4096,4.67778,0,1.37796
HOTREE,tweets,65536,1,0.859867,2.84619,2.3759e+06,4096,5.54419,0.000244141,5.46969
HOTREE,tweets,262144,1,1.1858,3.54137,3.86434e+06,4096,6.36668,0.000686672,22.8599
HOTREE,tweets,1048576,1,1.62031,3.87177,5.9162e+06,4096,7.19076,0.000591287,96.616
HOTREE,foursquare,1024,1,0.22699,1.07843,215803,4096,2.84314,0,0.0529698
HOTREE,foursquare,4096,1,0.388845,1.79765,617619,4096,3.80645,0,0.210494
HOTREE,foursquare,16384,1,0.585673,2.2,1.29371e+06,4096,4.68632,0,0.848763
HOTREE,foursquare,65536,1,0.796743,2.85059,2.37654e+06,4096,5.55493,0.000488281,3.69549
HOTREE,foursquare,262144,1,1.0581,3.54693,3.89764e+06,4096,6.37636,0.000686672,17.9747
HOTREE,foursquare,1048576,1,1.46826,3.89593,5.92721e+06,4096,7.22671,0.00055314,80.9707
HOTREE,synthetic,1024,1,0.344931,1.11765,217088,4096,2.90196,0,0.134294
HOTREE,synthetic,4096,1,0.495965,1.74194,614664,4096,3.69501,0,0.535001
HOTREE,synthetic,16384,1,0.724668,2.19145,1.29364e+06,4096,4.68803,0.000854701,2.21619
HOTREE,synthetic,65536,1,0.907476,2.84644,2.37621e+06,4096,5.54932,0.000732422,9.32947
HOTREE,synthetic,262144,1,1.26868,3.53924,3.86485e+06,4096,6.36819,0.000618005,43.9394
HOTREE,synthetic,1048576,1,1.65569,3.902,5.92779e+06,4096,7.22978,0.000362402,212.4
